timestamp,datetime,open,high,low,close,volume
1765994400000,2025-12-17 20:00:00,0.2453,0.246,0.2451,0.2458,11894.4
1765995300000,2025-12-17 20:15:00,0.2458,0.2463,0.2445,0.2451,15103.4
1765996200000,2025-12-17 20:30:00,0.2451,0.2455,0.2414,0.2427,84878.8
1765997100000,2025-12-17 20:45:00,0.2427,0.2432,0.2413,0.2416,36940.3
1765998000000,2025-12-17 21:00:00,0.2416,0.2422,0.24,0.2412,48458.9
1765998900000,2025-12-17 21:15:00,0.2412,0.2428,0.2412,0.2423,15898.7
1765999800000,2025-12-17 21:30:00,0.2423,0.243,0.2415,0.2421,11594.6
1766000700000,2025-12-17 21:45:00,0.2421,0.2442,0.2421,0.2435,6194.8
1766001600000,2025-12-17 22:00:00,0.2435,0.2438,0.242,0.2422,30043.9
1766002500000,2025-12-17 22:15:00,0.2422,0.2456,0.2421,0.2451,11646.0
1766003400000,2025-12-17 22:30:00,0.2451,0.2454,0.2442,0.2445,4079.7
1766004300000,2025-12-17 22:45:00,0.2445,0.2445,0.2426,0.2431,7461.6
1766005200000,2025-12-17 23:00:00,0.2431,0.2435,0.2426,0.243,5447.3
1766006100000,2025-12-17 23:15:00,0.243,0.2431,0.242,0.2422,2235.2
1766007000000,2025-12-17 23:30:00,0.2422,0.2422,0.2412,0.2415,3146.4
1766007900000,2025-12-17 23:45:00,0.2415,0.242,0.2413,0.2414,6078.8
1766008800000,2025-12-18 00:00:00,0.2414,0.2417,0.2401,0.2416,27780.2
1766009700000,2025-12-18 00:15:00,0.2416,0.2426,0.2408,0.2418,13562.0
1766010600000,2025-12-18 00:30:00,0.2418,0.242,0.2409,0.241,63407.1
1766011500000,2025-12-18 00:45:00,0.241,0.2424,0.241,0.2424,8031.0
1766012400000,2025-12-18 01:00:00,0.2424,0.2424,0.2406,0.2408,20606.4
1766013300000,2025-12-18 01:15:00,0.2408,0.2409,0.2403,0.2407,6024.2
1766014200000,2025-12-18 01:30:00,0.2407,0.2407,0.2402,0.2405,3000.4
1766015100000,2025-12-18 01:45:00,0.2405,0.241,0.2404,0.241,3668.9
1766016000000,2025-12-18 02:00:00,0.241,0.2418,0.2403,0.2411,19069.1
1766016900000,2025-12-18 02:15:00,0.2411,0.2416,0.2403,0.241,3011.8
1766017800000,2025-12-18 02:30:00,0.241,0.2411,0.2401,0.2401,2683.1
1766018700000,2025-12-18 02:45:00,0.2401,0.2408,0.2401,0.2402,1271.3
1766019600000,2025-12-18 03:00:00,0.2402,0.2402,0.237,0.2385,53584.2
1766020500000,2025-12-18 03:15:00,0.2385,0.239,0.238,0.2383,2749.9
1766021400000,2025-12-18 03:30:00,0.2383,0.239,0.238,0.2386,5101.9
1766022300000,2025-12-18 03:45:00,0.2386,0.239,0.2375,0.2385,33871.4
1766023200000,2025-12-18 04:00:00,0.2385,0.2404,0.2379,0.2401,9312.2
1766024100000,2025-12-18 04:15:00,0.2401,0.2414,0.2393,0.2398,9529.0
1766025000000,2025-12-18 04:30:00,0.2398,0.2414,0.2398,0.2414,6399.2
1766025900000,2025-12-18 04:45:00,0.2414,0.2418,0.2409,0.2409,11932.0
1766026800000,2025-12-18 05:00:00,0.2409,0.2411,0.2405,0.2405,3333.4
1766027700000,2025-12-18 05:15:00,0.2405,0.2405,0.2393,0.2393,3823.6
1766028600000,2025-12-18 05:30:00,0.2393,0.2395,0.2385,0.2388,35692.5
1766029500000,2025-12-18 05:45:00,0.2388,0.2393,0.2386,0.2393,25318.1
1766030400000,2025-12-18 06:00:00,0.2393,0.2402,0.2392,0.2393,3116.2
1766031300000,2025-12-18 06:15:00,0.2393,0.2398,0.2392,0.2393,2365.6
1766032200000,2025-12-18 06:30:00,0.2393,0.2398,0.2392,0.2393,1687.9
1766033100000,2025-12-18 06:45:00,0.2393,0.2393,0.2386,0.2391,4740.6
1766034000000,2025-12-18 07:00:00,0.2391,0.2391,0.2368,0.2369,34426.9
1766034900000,2025-12-18 07:15:00,0.2369,0.2369,0.2356,0.2359,33480.4
1766035800000,2025-12-18 07:30:00,0.2359,0.2365,0.2351,0.2364,6679.3
1766036700000,2025-12-18 07:45:00,0.2364,0.2364,0.2343,0.235,17958.3
1766037600000,2025-12-18 08:00:00,0.235,0.236,0.2344,0.2358,22150.2
1766038500000,2025-12-18 08:15:00,0.2358,0.2361,0.2357,0.2358,2780.2
