timestamp,datetime,open,high,low,close,volume
1762732800000,2025-11-10 02:00:00,2.969,3.012,2.946,2.993,305642.3
1762736400000,2025-11-10 03:00:00,2.993,3.005,2.969,2.972,177910.9
1762740000000,2025-11-10 04:00:00,2.972,2.989,2.964,2.988,158973.0
1762743600000,2025-11-10 05:00:00,2.988,3.022,2.988,3.008,124627.7
1762747200000,2025-11-10 06:00:00,3.008,3.023,2.987,3.011,279561.1
1762750800000,2025-11-10 07:00:00,3.011,3.03,2.997,3.018,163673.9
1762754400000,2025-11-10 08:00:00,3.018,3.029,3.004,3.015,95773.9
1762758000000,2025-11-10 09:00:00,3.015,3.032,2.997,3.006,228573.9
1762761600000,2025-11-10 10:00:00,3.006,3.008,2.969,2.983,210720.8
1762765200000,2025-11-10 11:00:00,2.983,3.051,2.98,3.041,212180.5
1762768800000,2025-11-10 12:00:00,3.041,3.06,3.007,3.018,234611.0
1762772400000,2025-11-10 13:00:00,3.018,3.066,3.018,3.052,140734.8
1762776000000,2025-11-10 14:00:00,3.052,3.085,3.034,3.061,295844.8
1762779600000,2025-11-10 15:00:00,3.061,3.103,3.057,3.074,157342.5
1762783200000,2025-11-10 16:00:00,3.074,3.074,3.003,3.029,395601.0
1762786800000,2025-11-10 17:00:00,3.029,3.09,3.028,3.061,305045.3
1762790400000,2025-11-10 18:00:00,3.061,3.082,3.028,3.044,293507.0
1762794000000,2025-11-10 19:00:00,3.044,3.073,3.023,3.054,364786.4
1762797600000,2025-11-10 20:00:00,3.054,3.059,3.027,3.027,217358.3
1762801200000,2025-11-10 21:00:00,3.027,3.079,3.027,3.06,200462.4
1762804800000,2025-11-10 22:00:00,3.06,3.095,3.06,3.085,247014.5
1762808400000,2025-11-10 23:00:00,3.085,3.088,3.054,3.078,212766.9
1762812000000,2025-11-11 00:00:00,3.078,3.151,3.055,3.14,253199.0
1762815600000,2025-11-11 01:00:00,3.14,3.144,3.093,3.104,174201.2
1762819200000,2025-11-11 02:00:00,3.104,3.117,3.046,3.074,300396.7
1762822800000,2025-11-11 03:00:00,3.074,3.155,3.072,3.074,366321.9
1762826400000,2025-11-11 04:00:00,3.074,3.135,3.062,3.116,251472.1
1762830000000,2025-11-11 05:00:00,3.116,3.132,3.101,3.109,124279.4
1762833600000,2025-11-11 06:00:00,3.109,3.125,3.066,3.068,226165.0
1762837200000,2025-11-11 07:00:00,3.068,3.069,3.031,3.036,273781.2
