timestamp,datetime,open,high,low,close,volume
1758466800000,2025-09-21 17:00:00,9.889,9.899,9.881,9.882,596.2
1758467100000,2025-09-21 17:05:00,9.882,9.941,9.882,9.924,4392.4
1758467400000,2025-09-21 17:10:00,9.924,9.942,9.915,9.942,354.4
1758467700000,2025-09-21 17:15:00,9.942,9.943,9.923,9.942,769.9
1758468000000,2025-09-21 17:20:00,9.942,9.952,9.928,9.928,936.2
1758468300000,2025-09-21 17:25:00,9.928,9.945,9.928,9.937,198.6
1758468600000,2025-09-21 17:30:00,9.937,9.956,9.923,9.925,660.5
1758468900000,2025-09-21 17:35:00,9.925,9.949,9.925,9.934,1347.1
1758469200000,2025-09-21 17:40:00,9.934,9.946,9.924,9.944,1078.3
1758469500000,2025-09-21 17:45:00,9.944,9.978,9.933,9.976,1793.2
1758469800000,2025-09-21 17:50:00,9.976,9.976,9.906,9.939,4363.5
1758470100000,2025-09-21 17:55:00,9.939,9.939,9.909,9.921,298.1
1758470400000,2025-09-21 18:00:00,9.921,9.955,9.921,9.955,482.8
1758470700000,2025-09-21 18:05:00,9.955,9.997,9.955,9.996,1970.2
1758471000000,2025-09-21 18:10:00,9.996,10.013,9.987,9.989,3761.6
1758471300000,2025-09-21 18:15:00,9.989,10.013,9.984,9.99,3843.9
1758471600000,2025-09-21 18:20:00,9.99,9.99,9.952,9.953,1185.3
1758471900000,2025-09-21 18:25:00,9.953,9.99,9.953,9.984,657.1
1758472200000,2025-09-21 18:30:00,9.984,9.996,9.96,9.984,764.5
1758472500000,2025-09-21 18:35:00,9.984,9.995,9.95,9.963,762.6
1758472800000,2025-09-21 18:40:00,9.963,9.973,9.935,9.943,1001.1
1758473100000,2025-09-21 18:45:00,9.943,9.945,9.905,9.911,1380.1
1758473400000,2025-09-21 18:50:00,9.911,9.948,9.908,9.926,515.1
1758473700000,2025-09-21 18:55:00,9.926,9.929,9.901,9.926,264.1
1758474000000,2025-09-21 19:00:00,9.926,9.94,9.896,9.898,249.9
1758474300000,2025-09-21 19:05:00,9.898,9.904,9.878,9.886,403.8
1758474600000,2025-09-21 19:10:00,9.886,9.893,9.877,9.887,178.6
1758474900000,2025-09-21 19:15:00,9.887,9.888,9.828,9.866,3458.2
1758475200000,2025-09-21 19:20:00,9.866,9.903,9.866,9.899,414.9
1758475500000,2025-09-21 19:25:00,9.899,9.929,9.899,9.909,735.4
1758475800000,2025-09-21 19:30:00,9.909,9.944,9.894,9.944,343.3
1758476100000,2025-09-21 19:35:00,9.944,9.956,9.933,9.955,399.9
1758476400000,2025-09-21 19:40:00,9.955,9.97,9.918,9.923,456.5
1758476700000,2025-09-21 19:45:00,9.923,9.94,9.916,9.935,411.7
1758477000000,2025-09-21 19:50:00,9.935,9.979,9.935,9.977,147.0
1758477300000,2025-09-21 19:55:00,9.977,9.981,9.968,9.971,150.2
1758477600000,2025-09-21 20:00:00,9.971,9.985,9.97,9.981,248.2
1758477900000,2025-09-21 20:05:00,9.981,9.982,9.967,9.97,37.0
1758478200000,2025-09-21 20:10:00,9.97,9.979,9.963,9.964,76.2
1758478500000,2025-09-21 20:15:00,9.964,9.97,9.955,9.956,345.2
1758478800000,2025-09-21 20:20:00,9.956,9.966,9.95,9.962,143.2
1758479100000,2025-09-21 20:25:00,9.962,9.966,9.947,9.953,54.8
1758479400000,2025-09-21 20:30:00,9.953,9.968,9.95,9.961,238.5
1758479700000,2025-09-21 20:35:00,9.961,9.967,9.957,9.957,58.1
1758480000000,2025-09-21 20:40:00,9.957,9.958,9.948,9.958,129.8
1758480300000,2025-09-21 20:45:00,9.958,9.959,9.948,9.957,138.3
1758480600000,2025-09-21 20:50:00,9.957,9.969,9.955,9.963,56.6
1758480900000,2025-09-21 20:55:00,9.963,10.011,9.949,9.993,3816.2
1758481200000,2025-09-21 21:00:00,9.993,9.993,9.955,9.965,398.3
1758481500000,2025-09-21 21:05:00,9.965,9.97,9.913,9.922,2480.6
1758481800000,2025-09-21 21:10:00,9.922,9.938,9.922,9.936,181.9
1758482100000,2025-09-21 21:15:00,9.936,9.939,9.913,9.933,1752.1
1758484500000,2025-09-21 21:55:00,9.941,9.942,9.93,9.937,52.8
