timestamp,datetime,open,high,low,close,volume
1765288800000,2025-12-09 16:00:00,7.937,7.973,7.937,7.948,126.2
1765289700000,2025-12-09 16:15:00,7.948,7.955,7.892,7.907,470.97
1765290600000,2025-12-09 16:30:00,7.907,7.956,7.891,7.905,965.75
1765291500000,2025-12-09 16:45:00,7.905,7.925,7.9,7.925,254.64
1765292400000,2025-12-09 17:00:00,7.925,8.098,7.925,8.004,3491.66
1765293300000,2025-12-09 17:15:00,8.004,8.081,7.974,8.047,299.69
1765294200000,2025-12-09 17:30:00,8.047,8.136,8.028,8.134,617.98
1765295100000,2025-12-09 17:45:00,8.134,8.231,8.112,8.191,2504.64
1765296000000,2025-12-09 18:00:00,8.191,8.291,8.191,8.275,3480.22
1765296900000,2025-12-09 18:15:00,8.275,8.275,8.209,8.243,486.1
1765297800000,2025-12-09 18:30:00,8.243,8.353,8.243,8.322,3111.08
1765298700000,2025-12-09 18:45:00,8.322,8.36,8.292,8.325,5552.99
1765299600000,2025-12-09 19:00:00,8.325,8.367,8.319,8.342,5856.2
1765300500000,2025-12-09 19:15:00,8.342,8.357,8.261,8.343,5011.99
1765301400000,2025-12-09 19:30:00,8.343,8.368,8.291,8.303,2848.8
1765302300000,2025-12-09 19:45:00,8.303,8.317,8.276,8.305,2872.39
1765303200000,2025-12-09 20:00:00,8.305,8.355,8.296,8.321,1258.91
1765304100000,2025-12-09 20:15:00,8.321,8.365,8.309,8.365,998.27
1765305000000,2025-12-09 20:30:00,8.365,8.365,8.334,8.334,389.52
1765305900000,2025-12-09 20:45:00,8.334,8.355,8.262,8.318,3039.55
1765306800000,2025-12-09 21:00:00,8.318,8.329,8.268,8.285,582.23
1765307700000,2025-12-09 21:15:00,8.285,8.294,8.276,8.278,106.07
1765308600000,2025-12-09 21:30:00,8.278,8.305,8.236,8.236,586.05
1765309500000,2025-12-09 21:45:00,8.236,8.278,8.236,8.263,76.2
1765310400000,2025-12-09 22:00:00,8.263,8.263,8.213,8.228,4005.5
1765311300000,2025-12-09 22:15:00,8.228,8.236,8.129,8.175,970.04
1765312200000,2025-12-09 22:30:00,8.175,8.203,8.137,8.179,223.87
1765313100000,2025-12-09 22:45:00,8.179,8.221,8.179,8.195,371.33
1765314000000,2025-12-09 23:00:00,8.195,8.261,8.195,8.247,762.91
1765314900000,2025-12-09 23:15:00,8.247,8.262,8.235,8.259,905.19
1765315800000,2025-12-09 23:30:00,8.259,8.262,8.182,8.194,3620.95
1765316700000,2025-12-09 23:45:00,8.194,8.206,8.129,8.18,1312.62
1765317600000,2025-12-10 00:00:00,8.18,8.235,8.18,8.207,888.87
1765318500000,2025-12-10 00:15:00,8.207,8.245,8.207,8.22,184.11
1765319400000,2025-12-10 00:30:00,8.22,8.277,8.219,8.277,238.33
1765320300000,2025-12-10 00:45:00,8.277,8.291,8.268,8.288,474.85
1765321200000,2025-12-10 01:00:00,8.288,8.29,8.253,8.255,425.95
1765322100000,2025-12-10 01:15:00,8.255,8.284,8.248,8.283,684.02
1765323000000,2025-12-10 01:30:00,8.283,8.283,8.263,8.267,601.38
1765323900000,2025-12-10 01:45:00,8.267,8.268,8.237,8.241,136.22
1765324800000,2025-12-10 02:00:00,8.241,8.241,8.216,8.225,1093.78
1765325700000,2025-12-10 02:15:00,8.225,8.225,8.177,8.204,281.68
1765326600000,2025-12-10 02:30:00,8.204,8.219,8.181,8.191,360.43
1765327500000,2025-12-10 02:45:00,8.191,8.207,8.153,8.167,991.09
1765328400000,2025-12-10 03:00:00,8.167,8.188,8.137,8.142,662.07
1765329300000,2025-12-10 03:15:00,8.142,8.172,8.14,8.166,408.68
1765330200000,2025-12-10 03:30:00,8.166,8.166,8.131,8.153,263.07
1765331100000,2025-12-10 03:45:00,8.153,8.197,8.15,8.185,1428.37
1765332000000,2025-12-10 04:00:00,8.185,8.204,8.17,8.171,1098.42
1765332900000,2025-12-10 04:15:00,8.171,8.215,8.171,8.215,117.99
