timestamp,datetime,open,high,low,close,volume
1763329800000,2025-11-16 23:50:00,22.02,22.08,22.02,22.07,14.74
1763330100000,2025-11-16 23:55:00,22.07,22.1,22.07,22.1,74.8
1763330400000,2025-11-17 00:00:00,22.1,22.1,21.98,21.98,131.76
1763330700000,2025-11-17 00:05:00,21.98,21.99,21.89,21.95,1000.57
1763331000000,2025-11-17 00:10:00,21.95,22.13,21.92,22.1,98.54
1763331300000,2025-11-17 00:15:00,22.1,22.17,22.05,22.17,73.82
1763331600000,2025-11-17 00:20:00,22.17,22.17,22.1,22.12,85.18
1763331900000,2025-11-17 00:25:00,22.12,22.19,22.12,22.18,50.63
1763332200000,2025-11-17 00:30:00,22.18,22.18,22.14,22.15,57.03
1763332500000,2025-11-17 00:35:00,22.15,22.15,22.12,22.12,13.9
1763332800000,2025-11-17 00:40:00,22.12,22.12,22.07,22.07,29.46
1763333100000,2025-11-17 00:45:00,22.07,22.22,22.07,22.22,159.59
1763333400000,2025-11-17 00:50:00,22.22,22.31,22.22,22.31,189.66
1763333700000,2025-11-17 00:55:00,22.31,22.36,22.31,22.33,20.63
1763334000000,2025-11-17 01:00:00,22.33,22.33,21.89,21.98,449.19
1763334300000,2025-11-17 01:05:00,21.98,22.12,21.92,22.12,1200.0
1763334600000,2025-11-17 01:10:00,22.12,22.23,22.09,22.19,127.48
1763334900000,2025-11-17 01:15:00,22.19,22.26,22.17,22.22,143.08
1763335200000,2025-11-17 01:20:00,22.22,22.43,22.22,22.42,88.36
1763335500000,2025-11-17 01:25:00,22.42,22.43,22.37,22.41,178.7
1763335800000,2025-11-17 01:30:00,22.41,22.45,22.4,22.42,72.65
1763336100000,2025-11-17 01:35:00,22.42,22.52,22.42,22.47,23.71
1763336400000,2025-11-17 01:40:00,22.47,22.49,22.47,22.49,38.86
1763336700000,2025-11-17 01:45:00,22.49,22.51,22.47,22.48,81.63
1763337000000,2025-11-17 01:50:00,22.48,22.5,22.48,22.49,5.41
1763337300000,2025-11-17 01:55:00,22.49,22.5,22.39,22.39,185.99
1763337600000,2025-11-17 02:00:00,22.39,22.49,22.38,22.46,322.83
1763337900000,2025-11-17 02:05:00,22.46,22.5,22.44,22.49,89.19
1763338200000,2025-11-17 02:10:00,22.49,22.49,22.4,22.4,121.5
1763338500000,2025-11-17 02:15:00,22.4,22.4,22.21,22.25,1042.42
1763338800000,2025-11-17 02:20:00,22.25,22.35,22.23,22.35,127.03
1763339100000,2025-11-17 02:25:00,22.35,22.5,22.34,22.5,340.31
1763339400000,2025-11-17 02:30:00,22.5,22.57,22.45,22.51,617.92
1763339700000,2025-11-17 02:35:00,22.51,22.59,22.51,22.58,287.54
1763340000000,2025-11-17 02:40:00,22.58,22.58,22.53,22.54,140.14
1763340300000,2025-11-17 02:45:00,22.54,22.54,22.47,22.49,167.8
1763340600000,2025-11-17 02:50:00,22.49,22.53,22.49,22.53,55.29
1763340900000,2025-11-17 02:55:00,22.53,22.56,22.5,22.51,134.87
1763341200000,2025-11-17 03:00:00,22.51,22.52,22.42,22.43,93.53
1763341500000,2025-11-17 03:05:00,22.43,22.43,22.33,22.37,132.1
1763341800000,2025-11-17 03:10:00,22.37,22.39,22.36,22.37,183.36
1763342100000,2025-11-17 03:15:00,22.37,22.37,22.3,22.3,46.4
1763342400000,2025-11-17 03:20:00,22.3,22.33,22.27,22.27,48.77
