timestamp,datetime,open,high,low,close,volume
1766168100000,2025-12-19 20:15:00,0.7188,0.7499,0.7188,0.7322,157648.7
1766169000000,2025-12-19 20:30:00,0.7322,0.7702,0.7301,0.7598,145244.3
1766169900000,2025-12-19 20:45:00,0.7598,0.7714,0.7432,0.7532,119998.2
1766170800000,2025-12-19 21:00:00,0.7532,0.8216,0.75,0.8102,302545.8
1766171700000,2025-12-19 21:15:00,0.8102,0.8344,0.7932,0.8148,317133.9
1766172600000,2025-12-19 21:30:00,0.8148,0.8591,0.8111,0.847,443420.8
1766173500000,2025-12-19 21:45:00,0.847,0.865,0.8012,0.8142,536029.2
1766174400000,2025-12-19 22:00:00,0.8142,0.8515,0.8118,0.8486,454987.8
1766175300000,2025-12-19 22:15:00,0.8486,0.8839,0.8373,0.8766,355880.5
1766176200000,2025-12-19 22:30:00,0.8766,0.8969,0.8424,0.8462,540304.8
1766177100000,2025-12-19 22:45:00,0.8462,0.8896,0.8455,0.8659,283732.2
1766178000000,2025-12-19 23:00:00,0.8659,0.866,0.8146,0.8285,377697.2
1766178900000,2025-12-19 23:15:00,0.8285,0.866,0.8222,0.8378,308523.1
1766179800000,2025-12-19 23:30:00,0.8378,0.8533,0.8246,0.8465,117425.0
1766180700000,2025-12-19 23:45:00,0.8465,0.8541,0.8341,0.8523,103039.8
1766181600000,2025-12-20 00:00:00,0.8523,0.8541,0.8334,0.8393,140270.0
1766182500000,2025-12-20 00:15:00,0.8393,0.8486,0.8282,0.8347,112400.7
1766183400000,2025-12-20 00:30:00,0.8347,0.8482,0.8336,0.8379,65474.4
1766184300000,2025-12-20 00:45:00,0.8379,0.8469,0.8368,0.8426,57201.0
1766185200000,2025-12-20 01:00:00,0.8426,0.8427,0.8251,0.8426,125335.5
1766186100000,2025-12-20 01:15:00,0.8426,0.85,0.8339,0.8385,131121.6
1766187000000,2025-12-20 01:30:00,0.8385,0.8458,0.8371,0.8385,50863.4
1766187900000,2025-12-20 01:45:00,0.8385,0.8419,0.8323,0.8331,55052.5
1766188800000,2025-12-20 02:00:00,0.8331,0.8352,0.7934,0.8259,333739.9
1766189700000,2025-12-20 02:15:00,0.8259,0.826,0.7962,0.8044,146519.3
1766190600000,2025-12-20 02:30:00,0.8044,0.8224,0.8025,0.8139,144670.4
1766191500000,2025-12-20 02:45:00,0.8139,0.8185,0.7985,0.8182,169081.2
1766192400000,2025-12-20 03:00:00,0.8182,0.8541,0.816,0.8528,179662.7
1766193300000,2025-12-20 03:15:00,0.8528,0.8683,0.8287,0.8367,226397.8
1766194200000,2025-12-20 03:30:00,0.8367,0.8377,0.8272,0.8329,66899.0
1766195100000,2025-12-20 03:45:00,0.8329,0.8377,0.8249,0.8278,38070.5
1766196000000,2025-12-20 04:00:00,0.8278,0.8456,0.8255,0.8416,64738.5
1766196900000,2025-12-20 04:15:00,0.8416,0.8547,0.8393,0.8401,169014.4
1766197800000,2025-12-20 04:30:00,0.8401,0.8552,0.829,0.8387,136875.6
1766198700000,2025-12-20 04:45:00,0.8387,0.8388,0.8141,0.8176,145676.2
1766199600000,2025-12-20 05:00:00,0.8176,0.8314,0.8161,0.8241,65321.8
1766200500000,2025-12-20 05:15:00,0.8241,0.827,0.8148,0.8159,50064.1
1766201400000,2025-12-20 05:30:00,0.8159,0.8187,0.8079,0.8146,38272.4
1766202300000,2025-12-20 05:45:00,0.8146,0.826,0.8142,0.8247,38677.4
1766203200000,2025-12-20 06:00:00,0.8247,0.84,0.8146,0.8238,130179.9
1766204100000,2025-12-20 06:15:00,0.8238,0.8401,0.8237,0.8401,56494.8
1766205000000,2025-12-20 06:30:00,0.8401,0.8533,0.8248,0.8348,137183.3
1766205900000,2025-12-20 06:45:00,0.8348,0.8381,0.8272,0.8296,35663.5
1766206800000,2025-12-20 07:00:00,0.8296,0.8415,0.8283,0.8292,46714.6
1766207700000,2025-12-20 07:15:00,0.8292,0.8374,0.8292,0.8316,34153.0
1766208600000,2025-12-20 07:30:00,0.8316,0.842,0.8274,0.8398,88059.3
1766209500000,2025-12-20 07:45:00,0.8398,0.8409,0.8278,0.8317,72366.7
1766210400000,2025-12-20 08:00:00,0.8317,0.8345,0.8236,0.8282,86837.6
1766211300000,2025-12-20 08:15:00,0.8282,0.8304,0.8207,0.8248,151923.0
1766212200000,2025-12-20 08:30:00,0.8248,0.826,0.8141,0.8189,56058.6
