timestamp,datetime,open,high,low,close,volume
1745348400000,2025-04-22 21:00:00,2.317,2.322,2.298,2.32,679553.8
1745352000000,2025-04-22 22:00:00,2.32,2.326,2.308,2.313,573471.9
1745355600000,2025-04-22 23:00:00,2.313,2.4,2.309,2.387,1837385.7
1745359200000,2025-04-23 00:00:00,2.387,2.399,2.377,2.395,1135306.3
1745362800000,2025-04-23 01:00:00,2.395,2.425,2.388,2.402,1398628.7
1745366400000,2025-04-23 02:00:00,2.402,2.431,2.39,2.405,1648555.5
1745370000000,2025-04-23 03:00:00,2.405,2.426,2.397,2.398,967159.3
1745373600000,2025-04-23 04:00:00,2.398,2.445,2.394,2.43,797424.0
1745377200000,2025-04-23 05:00:00,2.43,2.446,2.413,2.442,673147.0
1745380800000,2025-04-23 06:00:00,2.442,2.478,2.423,2.477,1354458.2
1745384400000,2025-04-23 07:00:00,2.477,2.478,2.453,2.465,1135047.1
1745388000000,2025-04-23 08:00:00,2.465,2.495,2.459,2.481,878404.8
1745391600000,2025-04-23 09:00:00,2.481,2.494,2.453,2.49,669693.8
1745395200000,2025-04-23 10:00:00,2.49,2.5,2.475,2.489,741982.9
1745398800000,2025-04-23 11:00:00,2.489,2.509,2.489,2.502,499520.0
1745402400000,2025-04-23 12:00:00,2.502,2.505,2.465,2.481,1005470.5
1745406000000,2025-04-23 13:00:00,2.481,2.498,2.471,2.477,643499.0
1745409600000,2025-04-23 14:00:00,2.477,2.502,2.471,2.499,771433.2
1745413200000,2025-04-23 15:00:00,2.499,2.548,2.47,2.473,5054314.4
1745416800000,2025-04-23 16:00:00,2.473,2.514,2.468,2.485,2214690.6
1745420400000,2025-04-23 17:00:00,2.485,2.498,2.434,2.488,2475531.5
1745424000000,2025-04-23 18:00:00,2.488,2.498,2.453,2.491,1216127.7
1745427600000,2025-04-23 19:00:00,2.491,2.519,2.482,2.503,1358925.6
1745431200000,2025-04-23 20:00:00,2.503,2.531,2.499,2.502,768393.8
1745434800000,2025-04-23 21:00:00,2.502,2.506,2.468,2.489,912089.6
1745438400000,2025-04-23 22:00:00,2.489,2.514,2.487,2.502,310476.8
1745442000000,2025-04-23 23:00:00,2.502,2.509,2.454,2.475,501445.7
1745445600000,2025-04-24 00:00:00,2.475,2.491,2.469,2.484,382466.2
1745449200000,2025-04-24 01:00:00,2.484,2.492,2.462,2.469,371839.4
1745452800000,2025-04-24 02:00:00,2.469,2.482,2.443,2.46,800953.3
1745456400000,2025-04-24 03:00:00,2.46,2.463,2.428,2.446,776822.8
1745460000000,2025-04-24 04:00:00,2.446,2.464,2.42,2.424,826414.9
1745463600000,2025-04-24 05:00:00,2.424,2.443,2.394,2.398,1656939.5
1745467200000,2025-04-24 06:00:00,2.398,2.415,2.379,2.401,1456807.5
1745470800000,2025-04-24 07:00:00,2.401,2.421,2.395,2.412,620256.9
1745474400000,2025-04-24 08:00:00,2.412,2.431,2.397,2.405,885143.7
1745478000000,2025-04-24 09:00:00,2.405,2.425,2.386,2.395,1115217.7
1745481600000,2025-04-24 10:00:00,2.395,2.407,2.358,2.379,3257434.4
1745485200000,2025-04-24 11:00:00,2.379,2.434,2.377,2.423,2513558.0
1745488800000,2025-04-24 12:00:00,2.423,2.425,2.405,2.416,734861.9
1745492400000,2025-04-24 13:00:00,2.416,2.422,2.397,2.42,815799.4
1745496000000,2025-04-24 14:00:00,2.42,2.443,2.404,2.442,866172.4
1745499600000,2025-04-24 15:00:00,2.442,2.478,2.434,2.465,1647038.1
1745503200000,2025-04-24 16:00:00,2.465,2.558,2.462,2.545,4016541.4
1745506800000,2025-04-24 17:00:00,2.545,2.588,2.512,2.516,4486837.9
1745510400000,2025-04-24 18:00:00,2.516,2.556,2.513,2.533,956530.9
1745514000000,2025-04-24 19:00:00,2.533,2.549,2.481,2.501,1611850.5
1745517600000,2025-04-24 20:00:00,2.501,2.526,2.5,2.516,680535.2
1745521200000,2025-04-24 21:00:00,2.516,2.523,2.501,2.516,458441.8
1745524800000,2025-04-24 22:00:00,2.516,2.538,2.51,2.526,727266.0
1745528400000,2025-04-24 23:00:00,2.526,2.54,2.504,2.525,408088.3
1745532000000,2025-04-25 00:00:00,2.525,2.543,2.516,2.523,387878.8
