timestamp,datetime,open,high,low,close,volume
1758437100000,2025-09-21 08:45:00,0.1358,0.1358,0.1354,0.1354,9554.0
1758438000000,2025-09-21 09:00:00,0.1354,0.1356,0.1353,0.1356,38490.0
1758438900000,2025-09-21 09:15:00,0.1356,0.1358,0.1356,0.1358,16047.0
1758439800000,2025-09-21 09:30:00,0.1358,0.1358,0.1357,0.1357,6231.0
1758440700000,2025-09-21 09:45:00,0.1357,0.1357,0.1354,0.1354,35701.0
1758441600000,2025-09-21 10:00:00,0.1354,0.1356,0.1351,0.1351,19292.0
1758442500000,2025-09-21 10:15:00,0.1351,0.1351,0.1348,0.1348,3739.0
1758443400000,2025-09-21 10:30:00,0.1348,0.1348,0.1347,0.1347,1342.0
1758444300000,2025-09-21 10:45:00,0.1347,0.1347,0.1347,0.1347,2.0
1758445200000,2025-09-21 11:00:00,0.1347,0.1347,0.134,0.1341,26136.0
1758446100000,2025-09-21 11:15:00,0.1341,0.1341,0.1332,0.1332,88595.0
1758447000000,2025-09-21 11:30:00,0.1332,0.1334,0.1325,0.1334,88652.0
1758447900000,2025-09-21 11:45:00,0.1334,0.1336,0.1333,0.1335,22590.0
1758448800000,2025-09-21 12:00:00,0.1335,0.1337,0.1335,0.1337,15669.0
1758449700000,2025-09-21 12:15:00,0.1337,0.1337,0.1332,0.1333,30121.0
1758450600000,2025-09-21 12:30:00,0.1333,0.1337,0.1333,0.1335,54536.0
1758451500000,2025-09-21 12:45:00,0.1335,0.1335,0.133,0.133,14591.0
1758452400000,2025-09-21 13:00:00,0.133,0.1334,0.1329,0.1334,15175.0
1758453300000,2025-09-21 13:15:00,0.1334,0.1334,0.1331,0.1332,20686.0
1758454200000,2025-09-21 13:30:00,0.1332,0.1333,0.1332,0.1333,4913.0
1758455100000,2025-09-21 13:45:00,0.1333,0.1333,0.133,0.1332,24521.0
1758456000000,2025-09-21 14:00:00,0.1332,0.1337,0.133,0.1337,10241.0
1758456900000,2025-09-21 14:15:00,0.1337,0.134,0.1337,0.134,52085.0
1758457800000,2025-09-21 14:30:00,0.134,0.1347,0.134,0.1345,31493.0
1758458700000,2025-09-21 14:45:00,0.1345,0.1345,0.1341,0.1341,28600.0
1758459600000,2025-09-21 15:00:00,0.1341,0.1341,0.1341,0.1341,82.0
1758460500000,2025-09-21 15:15:00,0.1341,0.1346,0.1341,0.1346,33062.0
1758461400000,2025-09-21 15:30:00,0.1346,0.1349,0.1345,0.1345,47116.0
1758462300000,2025-09-21 15:45:00,0.1345,0.1349,0.1345,0.1348,8853.0
1758463200000,2025-09-21 16:00:00,0.1348,0.1349,0.1345,0.1345,18585.0
1758464100000,2025-09-21 16:15:00,0.1345,0.1345,0.1341,0.1341,44944.0
1758465000000,2025-09-21 16:30:00,0.1341,0.1344,0.1341,0.1344,23288.0
1758465900000,2025-09-21 16:45:00,0.1344,0.1348,0.1341,0.1341,70236.0
1758466800000,2025-09-21 17:00:00,0.1341,0.1342,0.134,0.1342,28509.0
1758467700000,2025-09-21 17:15:00,0.1342,0.1343,0.134,0.134,21839.0
1758468600000,2025-09-21 17:30:00,0.134,0.1341,0.1338,0.1341,15938.0
1758469500000,2025-09-21 17:45:00,0.1341,0.1344,0.1339,0.1339,36577.0
1758470400000,2025-09-21 18:00:00,0.1339,0.1342,0.1338,0.1342,20103.0
1758471300000,2025-09-21 18:15:00,0.1342,0.1342,0.1336,0.1338,25502.0
1758472200000,2025-09-21 18:30:00,0.1338,0.1338,0.1332,0.1332,23197.0
1758473100000,2025-09-21 18:45:00,0.1332,0.1335,0.1331,0.1335,31869.0
1758474000000,2025-09-21 19:00:00,0.1335,0.1335,0.1328,0.1328,59740.0
1758474900000,2025-09-21 19:15:00,0.1328,0.1329,0.1327,0.1328,37068.0
1758475800000,2025-09-21 19:30:00,0.1328,0.1331,0.1328,0.1331,58308.0
1758476700000,2025-09-21 19:45:00,0.1331,0.1342,0.1331,0.1342,92219.0
1758477600000,2025-09-21 20:00:00,0.1342,0.1343,0.1342,0.1342,2123.0
1758478500000,2025-09-21 20:15:00,0.1342,0.1343,0.1338,0.1338,18014.0
1758479400000,2025-09-21 20:30:00,0.1338,0.134,0.1338,0.134,1153.0
1758480300000,2025-09-21 20:45:00,0.134,0.134,0.1339,0.134,8631.0
1758481200000,2025-09-21 21:00:00,0.134,0.1341,0.1334,0.1334,35447.0
1758483900000,2025-09-21 21:45:00,0.1337,0.1339,0.1337,0.1339,3700.0
