timestamp,datetime,open,high,low,close,volume
1763132400000,2025-11-14 17:00:00,1.764,1.764,1.745,1.747,2783.7
1763133300000,2025-11-14 17:15:00,1.747,1.771,1.747,1.768,3435.5
1763134200000,2025-11-14 17:30:00,1.768,1.775,1.766,1.775,8398.3
1763135100000,2025-11-14 17:45:00,1.775,1.787,1.77,1.77,3147.4
1763136000000,2025-11-14 18:00:00,1.77,1.773,1.766,1.77,4189.3
1763136900000,2025-11-14 18:15:00,1.77,1.789,1.766,1.785,3185.4
1763137800000,2025-11-14 18:30:00,1.785,1.791,1.777,1.783,3302.8
1763138700000,2025-11-14 18:45:00,1.783,1.785,1.779,1.785,2834.4
1763139600000,2025-11-14 19:00:00,1.785,1.787,1.781,1.784,1102.1
1763140500000,2025-11-14 19:15:00,1.784,1.784,1.776,1.777,549.5
1763141400000,2025-11-14 19:30:00,1.777,1.777,1.768,1.77,1443.0
1763142300000,2025-11-14 19:45:00,1.77,1.771,1.75,1.756,5413.3
1763143200000,2025-11-14 20:00:00,1.756,1.775,1.752,1.774,4777.3
1763144100000,2025-11-14 20:15:00,1.774,1.774,1.763,1.769,2760.6
1763145000000,2025-11-14 20:30:00,1.769,1.772,1.757,1.759,1147.1
1763145900000,2025-11-14 20:45:00,1.759,1.76,1.755,1.756,2063.9
1763146800000,2025-11-14 21:00:00,1.756,1.767,1.754,1.767,3129.2
1763147700000,2025-11-14 21:15:00,1.767,1.784,1.767,1.778,814.4
1763148600000,2025-11-14 21:30:00,1.778,1.778,1.77,1.771,1050.7
1763149500000,2025-11-14 21:45:00,1.771,1.78,1.77,1.777,2105.1
1763150400000,2025-11-14 22:00:00,1.777,1.78,1.774,1.774,1512.8
1763151300000,2025-11-14 22:15:00,1.774,1.775,1.76,1.76,4052.8
1763152200000,2025-11-14 22:30:00,1.76,1.763,1.728,1.732,8494.2
1763153100000,2025-11-14 22:45:00,1.732,1.742,1.729,1.739,5605.0
1763154000000,2025-11-14 23:00:00,1.739,1.761,1.734,1.757,3960.7
1763154900000,2025-11-14 23:15:00,1.757,1.76,1.749,1.749,1390.3
1763155800000,2025-11-14 23:30:00,1.749,1.752,1.748,1.751,1466.1
1763156700000,2025-11-14 23:45:00,1.751,1.751,1.747,1.75,535.7
1763157600000,2025-11-15 00:00:00,1.75,1.758,1.741,1.741,2068.8
1763158500000,2025-11-15 00:15:00,1.741,1.75,1.738,1.75,2900.7
1763159400000,2025-11-15 00:30:00,1.75,1.757,1.749,1.749,1976.2
1763160300000,2025-11-15 00:45:00,1.749,1.756,1.737,1.738,6292.0
1763161200000,2025-11-15 01:00:00,1.738,1.738,1.698,1.722,21369.9
1763162100000,2025-11-15 01:15:00,1.722,1.731,1.709,1.717,10575.9
1763163000000,2025-11-15 01:30:00,1.717,1.729,1.714,1.729,3644.5
1763163900000,2025-11-15 01:45:00,1.729,1.734,1.719,1.721,1010.6
1763164800000,2025-11-15 02:00:00,1.721,1.741,1.721,1.738,2993.9
1763165700000,2025-11-15 02:15:00,1.738,1.744,1.734,1.736,3125.7
1763166600000,2025-11-15 02:30:00,1.736,1.736,1.724,1.734,1390.7
1763167500000,2025-11-15 02:45:00,1.734,1.74,1.726,1.739,1378.9
1763168400000,2025-11-15 03:00:00,1.739,1.744,1.733,1.743,1249.5
1763169300000,2025-11-15 03:15:00,1.743,1.753,1.742,1.745,3178.3
1763170200000,2025-11-15 03:30:00,1.745,1.75,1.745,1.749,3093.0
1763171100000,2025-11-15 03:45:00,1.749,1.753,1.746,1.75,1440.9
1763172000000,2025-11-15 04:00:00,1.75,1.751,1.747,1.749,392.7
1763172900000,2025-11-15 04:15:00,1.749,1.757,1.747,1.755,1933.7
1763173800000,2025-11-15 04:30:00,1.755,1.76,1.748,1.758,1538.0
1763174700000,2025-11-15 04:45:00,1.758,1.763,1.754,1.763,697.7
1763175600000,2025-11-15 05:00:00,1.763,1.767,1.758,1.762,1527.8
1763176500000,2025-11-15 05:15:00,1.762,1.767,1.762,1.766,293.2
