timestamp,datetime,open,high,low,close,volume
1763328000000,2025-11-16 23:20:00,0.1887,0.189,0.1884,0.1884,2004.0
1763328300000,2025-11-16 23:25:00,0.1884,0.1884,0.1878,0.1881,15194.0
1763328600000,2025-11-16 23:30:00,0.1881,0.1891,0.1881,0.1889,18323.0
1763328900000,2025-11-16 23:35:00,0.1889,0.1889,0.1882,0.1882,8378.0
1763329200000,2025-11-16 23:40:00,0.1882,0.189,0.1882,0.189,5179.0
1763329500000,2025-11-16 23:45:00,0.189,0.1893,0.1889,0.189,9463.0
1763329800000,2025-11-16 23:50:00,0.189,0.1894,0.189,0.1893,6590.0
1763330100000,2025-11-16 23:55:00,0.1893,0.1896,0.1893,0.1896,2789.0
1763330400000,2025-11-17 00:00:00,0.1896,0.1896,0.1887,0.1887,6978.0
1763330700000,2025-11-17 00:05:00,0.1887,0.1889,0.1883,0.1884,19598.0
1763331000000,2025-11-17 00:10:00,0.1884,0.1899,0.188,0.1895,78709.0
1763331300000,2025-11-17 00:15:00,0.1895,0.1898,0.1892,0.1898,20152.0
1763331600000,2025-11-17 00:20:00,0.1898,0.1903,0.1895,0.1898,6408.0
1763331900000,2025-11-17 00:25:00,0.1898,0.1902,0.1898,0.1901,3457.0
1763332200000,2025-11-17 00:30:00,0.1901,0.1901,0.1896,0.1898,21232.0
1763332500000,2025-11-17 00:35:00,0.1898,0.1899,0.1898,0.1899,24.0
1763332800000,2025-11-17 00:40:00,0.1899,0.1899,0.1892,0.1893,11132.0
1763333100000,2025-11-17 00:45:00,0.1893,0.1913,0.1892,0.1913,36317.0
1763333400000,2025-11-17 00:50:00,0.1913,0.1919,0.1912,0.1919,47619.0
1763333700000,2025-11-17 00:55:00,0.1919,0.1919,0.1912,0.1912,23297.0
1763334000000,2025-11-17 01:00:00,0.1912,0.1912,0.1879,0.1885,65036.0
1763334300000,2025-11-17 01:05:00,0.1885,0.1904,0.1882,0.1904,88867.0
1763334600000,2025-11-17 01:10:00,0.1904,0.1916,0.1901,0.1914,25765.0
1763334900000,2025-11-17 01:15:00,0.1914,0.1919,0.1909,0.1909,15834.0
1763335200000,2025-11-17 01:20:00,0.1909,0.1924,0.1908,0.1924,18860.0
1763335500000,2025-11-17 01:25:00,0.1924,0.1926,0.1921,0.1924,6809.0
