timestamp,datetime,open,high,low,close,volume
1767484800000,2026-01-04 02:00:00,0.7081,0.7162,0.7081,0.7103,81301.9
1767492000000,2026-01-04 04:00:00,0.7103,0.7116,0.7072,0.7101,52739.5
1767499200000,2026-01-04 06:00:00,0.7101,0.7138,0.7091,0.7109,65337.6
1767506400000,2026-01-04 08:00:00,0.7109,0.7126,0.7035,0.7105,132997.7
1767513600000,2026-01-04 10:00:00,0.7105,0.7116,0.7055,0.7107,94776.5
1767520800000,2026-01-04 12:00:00,0.7107,0.7113,0.7076,0.7104,49901.6
1767528000000,2026-01-04 14:00:00,0.7104,0.7128,0.708,0.71,17198.9
1767535200000,2026-01-04 16:00:00,0.71,0.7134,0.71,0.7129,42045.7
1767542400000,2026-01-04 18:00:00,0.7129,0.7156,0.7121,0.7134,53923.0
1767549600000,2026-01-04 20:00:00,0.7134,0.7134,0.707,0.7093,52003.2
1767556800000,2026-01-04 22:00:00,0.7093,0.7102,0.7067,0.7077,40343.0
1767564000000,2026-01-05 00:00:00,0.7077,0.7097,0.7058,0.7084,36829.6
